submittedAt,studentId,identity,preferredDate,yearOfStudy,dateType,dateFormat,submittedAt,adventurous,believeInTrueLove,confident,lookingForSerious,intellectualConversations,talkingAboutFeelings,extrovert,careAboutEnvironment,likeToDance,religiousConnection,outClubbing,closeToFamily,likeToTravel,swearALot,organizedAndTidy,commitmentImportant,prioritizeAcademics,discussBooksMovies,laidBack,likeSarcasticPeople,decisionBasedOnFeelings,openToChangingViews,healthyLiving,actionsOverWords,passionateAboutPolitics,sharedMoralsImportant,romantic,stemOverHumanities,partnerPreference,yearPreference,purchased
2024-11-12T09:04:49.704+00:00,5529041,male,11/22/24,2,romantic,One-on-one,2024-11-12T09:04:49.704+00:00,5,5,5,5,4,3,3,3,5,4,4,5,5,4,4,5,3,4,1,3,2,3,5,5,2,4,4,4,women,any,
2024-11-12T12:13:58.880+00:00,3163882,male,11/21/24,postgraduate,romantic,one-on-one,2024-11-12T12:13:58.880+00:00,3,4,4,3,4,4,3,4,4,2,3,4,4,4,3,3,3,4,4,4,4,4,3,4,3,3,4,2,women,any,
2024-11-13T16:15:44.237+00:00,5628105,male,11/22/24,1,romantic,one-on-one,2024-11-13T16:15:44.237+00:00,4,4,4,3,4,4,4,5,4,2,2,4,5,4,4,4,3,3,4,4,3,4,5,5,3,4,4,4,women,any,
2024-11-13T16:20:26.694+00:00,5562079,male,11/21/24,2,romantic,one-on-one,2024-11-13T16:20:26.694+00:00,5,4,4,5,4,5,4,3,3,1,2,4,5,3,3,4,2,4,4,3,2,4,2,5,2,2,4,2,men,same,
2024-11-13T16:20:37.862+00:00,2201971,female,11/21/24,3,romantic,one-on-one,2024-11-13T16:20:37.862+00:00,4,4,4,4,4,5,4,4,4,2,2,4,5,4,4,5,2,3,3,4,5,4,4,4,2,5,5,2,men,same,
2024-11-13T16:22:02.911+00:00,5505309,male,11/22/24,2,romantic,one-on-one,2024-11-13T16:22:02.911+00:00,4,5,4,4,4,4,3,3,4,4,3,4,5,3,4,4,1,4,3,5,3,4,4,5,2,4,4,5,women,any,
2024-11-13T16:22:11.536+00:00,5568489,male,11/22/24,postgraduate,romantic,one-on-one,2024-11-13T16:22:11.536+00:00,4,5,4,4,4,4,4,4,3,4,3,4,5,4,4,5,4,5,4,4,4,4,5,4,3,4,5,4,men,any,
2024-11-13T16:26:40.304+00:00,2247060,male,11/22/24,3,romantic,one-on-one,2024-11-13T16:26:40.304+00:00,4,5,5,4,4,5,5,5,3,1,4,4,5,3,3,4,1,5,2,3,4,4,5,5,1,2,4,1,women,any,yes
2024-11-13T16:39:40.317+00:00,2232283,male,11/22/24,3,romantic,one-on-one,2024-11-13T16:39:40.317+00:00,5,4,5,5,4,4,5,3,4,4,4,5,5,5,4,5,2,4,5,4,4,4,5,5,4,2,4,2,women,any,yes
2024-11-13T16:46:56.097+00:00,5566405,female,11/21/24,2,romantic,double,2024-11-13T16:46:56.097+00:00,4,4,4,3,4,3,3,4,2,2,2,5,5,3,4,4,3,4,4,5,2,4,4,4,2,4,5,4,men,any,yes
2024-11-13T16:48:59.897+00:00,2242090,male,11/21/24,3,romantic,one-on-one,2024-11-13T16:48:59.897+00:00,5,5,5,5,5,4,3,4,2,3,2,4,4,3,5,5,2,2,5,4,3,5,5,5,3,4,5,3,women,any,
2024-11-13T16:50:01.014+00:00,5563060,male,11/22/24,2,romantic,one-on-one,2024-11-13T16:50:01.014+00:00,5,5,4,3,3,3,4,5,5,3,3,3,4,2,4,2,2,3,3,4,3,5,4,5,1,4,4,3,women,any,
